image_type,colors,speed,dither,runtime_ms,compression_ratio,quality_ok
scatter,8,1,1.0,38.52075,2.750468244508769,true
scatter,8,4,1.0,33.668833,2.7415987780040734,true
scatter,8,6,1.0,32.624041,2.75515947467167,true
scatter,8,8,1.0,18.388166000000002,2.146216700989836,true
scatter,8,10,1.0,18.439207999999997,2.146216700989836,true
scatter,32,1,1.0,37.733875,2.271940928270042,true
scatter,32,4,1.0,32.654084,2.2833415789101705,true
scatter,32,6,1.0,32.905916,2.2746602830387945,true
scatter,32,8,1.0,17.996959,2.432206579838892,true
scatter,32,10,1.0,17.862208000000003,2.432206579838892,true
scatter,64,1,1.0,38.020542,2.492824074074074,true
scatter,64,4,1.0,33.166583,2.4741154847603,true
scatter,64,6,1.0,32.315084,2.4676901924839596,true
scatter,64,8,1.0,17.859417,2.4777206841015413,true
scatter,64,10,1.0,21.092834,2.4777206841015413,true
scatter,128,1,1.0,37.853917,2.365773286467487,true
scatter,128,4,1.0,33.449041,2.357658906808728,true
scatter,128,6,1.0,33.00795900000001,2.3504547108039286,true
scatter,128,8,1.0,17.659417,2.332130224500108,true
scatter,128,10,1.0,17.605333,2.332130224500108,true
scatter,256,1,1.0,40.3555,2.229145104533223,true
scatter,256,4,1.0,35.659583000000005,2.226993865030675,true
scatter,256,6,1.0,33.830625000000005,2.2257664485015503,true
scatter,256,8,1.0,18.933334,2.2082706766917295,true
scatter,256,10,1.0,18.022459,2.2082706766917295,true
heatmap,8,1,1.0,59.965125,0.19398213889131913,true
heatmap,8,4,1.0,45.485625,0.1948159913487209,true
heatmap,8,6,1.0,45.381375,0.19530307752767878,true
heatmap,8,8,1.0,32.2075,0.20291303827498575,true
heatmap,8,10,1.0,32.804708000000005,0.20291303827498575,true
heatmap,32,1,1.0,38.564042,2.3000319182891795,true
heatmap,32,4,1.0,35.746459,2.2672854558326123,true
heatmap,32,6,1.0,33.738167,2.274980268350434,true
heatmap,32,8,1.0,19.260083,1.8802348336594912,true
heatmap,32,10,1.0,19.902124999999998,1.8802348336594912,true
heatmap,64,1,1.0,38.269583000000004,2.7118261360429017,true
heatmap,64,4,1.0,35.029042000000004,2.695595249228467,true
heatmap,64,6,1.0,33.947084000000004,2.690060662622492,true
heatmap,64,8,1.0,18.686417,2.5507964601769912,true
heatmap,64,10,1.0,18.776667,2.5507964601769912,true
heatmap,128,1,1.0,38.608000000000004,2.5767924190952978,true
heatmap,128,4,1.0,34.100249999999996,2.577022798390702,true
heatmap,128,6,1.0,32.958667,2.574950866535644,true
heatmap,128,8,1.0,18.424708000000003,2.4850418139494783,true
heatmap,128,10,1.0,18.413875,2.4850418139494783,true
heatmap,256,1,1.0,38.722083,2.496881496881497,true
heatmap,256,4,1.0,34.346333,2.496665223040277,true
heatmap,256,6,1.0,33.898875000000004,2.496881496881497,true
heatmap,256,8,1.0,18.607,2.426262626262626,true
heatmap,256,10,1.0,18.819375,2.426262626262626,true
lines,8,1,1.0,44.68475,4.338763866877971,true
lines,8,4,1.0,38.297959,4.302759791286855,true
lines,8,6,1.0,37.334582999999995,4.330802328524424,true
lines,8,8,1.0,24.866083,3.8774076591887603,true
lines,8,10,1.0,23.632834,3.8774076591887603,true
lines,32,1,1.0,44.862542,3.471759364934439,true
lines,32,4,1.0,38.520291,3.4715832720448376,true
lines,32,6,1.0,37.014708,3.467274569402229,true
lines,32,8,1.0,22.583917,3.01661598131253,true
lines,32,10,1.0,22.435416999999998,3.01661598131253,true
lines,64,1,1.0,46.656625,2.982114458749973,true
lines,64,4,1.0,40.349959,2.9689201205890647,true
lines,64,6,1.0,37.508792,2.9624307479224377,true
lines,64,8,1.0,22.422708,2.887323349504324,true
lines,64,10,1.0,22.405209,2.887323349504324,true
lines,128,1,1.0,51.365042,2.6896158758227724,true
lines,128,4,1.0,40.801333,2.697938428791044,true
lines,128,6,1.0,38.437666,2.690461683602272,true
lines,128,8,1.0,22.888042000000002,2.670047593040493,true
lines,128,10,1.0,22.997125,2.670047593040493,true
lines,256,1,1.0,52.591,2.5830361354844795,true
lines,256,4,1.0,44.050375,2.5861104813723266,true
lines,256,6,1.0,38.837583,2.57690932023117,true
lines,256,8,1.0,23.896583,2.534962962962963,true
lines,256,10,1.0,23.224874999999997,2.534962962962963,true
