image_type,min_quality,max_quality,colors,speed,dither,posterize,runtime_ms,compression_ratio,quality_ok
scatter,30,100,32,4,0.0,1,24.137542,2.918691842081489,true
scatter,30,100,32,4,0.0,2,23.929958000000003,2.9255637055148056,true
scatter,30,100,32,4,0.0,3,23.740083,2.9434220116618075,true
scatter,30,100,32,4,0.0,4,28.509957999999997,3.1139277108433734,true
scatter,30,100,32,4,0.5,0,34.926791,2.3506257275902214,true
scatter,30,100,32,4,0.5,1,35.927167000000004,2.3825221238938052,true
scatter,30,100,32,4,0.5,2,33.439541000000006,2.531301418161874,true
scatter,30,100,32,4,0.5,3,39.82575,2.0424200278164117,true
scatter,30,100,32,4,0.5,4,33.255041999999996,1.5982487384980706,true
scatter,30,100,32,4,1.0,0,33.927209,2.2833415789101705,true
scatter,30,100,32,4,1.0,1,34.082,2.2995942771727527,true
scatter,30,100,32,4,1.0,2,33.79775,2.1982037150438867,true
scatter,30,100,32,4,1.0,3,40.332833,1.884339457567804,true
scatter,30,100,32,4,1.0,4,33.720416,1.549199194399156,true
scatter,30,100,32,6,0.0,0,24.132625,2.890748031496063,true
scatter,30,100,32,6,0.0,1,23.472042,2.926358695652174,true
scatter,30,100,32,6,0.0,2,23.633291,2.929542981501632,true
scatter,30,100,32,6,0.0,3,23.323458,2.937267024274934,true
scatter,30,100,32,6,0.0,4,23.715916,3.112127926018688,true
scatter,30,100,32,6,0.5,0,34.848875,2.3424448955916475,true
scatter,30,100,32,6,0.5,1,33.884040999999996,2.3812928429276923,true
scatter,30,100,32,6,0.5,2,33.716917,2.5400581806745812,true
scatter,30,100,32,6,0.5,3,41.742042,2.0411296436694464,true
scatter,30,100,32,6,0.5,4,35.148167,1.597774480712166,true
scatter,30,100,32,6,1.0,0,34.251459,2.2746602830387945,true
scatter,30,100,32,6,1.0,1,33.481417,2.301888136800855,true
scatter,30,100,32,6,1.0,2,34.722625,2.2051054535526586,true
scatter,30,100,32,6,1.0,3,40.348042,1.8754789272030652,true
scatter,30,100,32,6,1.0,4,34.103750000000005,1.548530892009778,true
scatter,30,100,32,8,0.0,0,16.7,2.921859455548521,true
scatter,30,100,32,8,0.0,1,16.008000000000003,2.918691842081489,true
scatter,30,100,32,8,0.0,2,16.373459,2.9279499728113105,true
scatter,30,100,32,8,0.0,3,16.347542,2.94771897810219,true
scatter,30,100,32,8,0.0,4,16.025292,3.1256772445820435,true
scatter,30,100,32,8,0.5,0,19.153625,2.5069449833165205,true
scatter,30,100,32,8,0.5,1,18.708041,2.4283674082982563,true
scatter,30,100,32,8,0.5,2,22.041791,2.3756893889256565,true
scatter,30,100,32,8,0.5,3,18.684875,1.6839718530101642,true
scatter,30,100,32,8,0.5,4,19.516833000000002,1.4514781202264355,true
scatter,30,100,32,8,1.0,0,19.234709,2.432206579838892,true
scatter,30,100,32,8,1.0,1,19.525917,2.28544142614601,true
scatter,30,100,32,8,1.0,2,20.058458,1.8596097392505613,true
scatter,30,100,32,8,1.0,3,19.636,1.4359304857993689,true
scatter,30,100,32,8,1.0,4,20.038125,1.401787651321213,true
scatter,30,100,32,10,0.0,0,15.881167000000001,2.921859455548521,true
scatter,30,100,32,10,0.0,1,16.138458,2.918691842081489,true
scatter,30,100,32,10,0.0,2,22.132875,2.9279499728113105,true
scatter,30,100,32,10,0.0,3,15.75675,2.94771897810219,true
scatter,30,100,32,10,0.0,4,16.030084,3.1256772445820435,true
scatter,30,100,32,10,0.5,0,19.873333,2.5069449833165205,true
scatter,30,100,32,10,0.5,1,19.022625,2.4283674082982563,true
scatter,30,100,32,10,0.5,2,19.100375,2.3756893889256565,true
scatter,30,100,32,10,0.5,3,19.083541,1.6839718530101642,true
scatter,30,100,32,10,0.5,4,19.145292,1.4514781202264355,true
scatter,30,100,32,10,1.0,0,19.363916,2.432206579838892,true
scatter,30,100,32,10,1.0,1,19.990833,2.28544142614601,true
scatter,30,100,32,10,1.0,2,19.523875,1.8596097392505613,true
scatter,30,100,32,10,1.0,3,19.184041999999998,1.4359304857993689,true
scatter,30,100,32,10,1.0,4,19.553292,1.401787651321213,true
scatter,30,100,128,1,0.0,0,27.445416,2.4316573837121784,true
scatter,30,100,128,1,0.0,1,27.166708,2.454379700676138,true
scatter,30,100,128,1,0.0,2,26.356832999999998,2.4356905910735827,true
scatter,30,100,128,1,0.0,3,25.219542,2.738345482285133,true
scatter,30,100,128,1,0.0,4,23.698209000000002,3.1187373298580945,true
scatter,30,100,128,1,0.5,0,39.284167000000004,2.398619051154503,true
scatter,30,100,128,1,0.5,1,40.420917,2.400936385255648,true
scatter,30,100,128,1,0.5,2,41.363084,1.5283848992336078,true
scatter,30,100,128,1,0.5,3,56.792041000000005,1.55621387283237,true
scatter,30,100,128,1,0.5,4,37.667083,1.604200804409355,true
scatter,30,100,128,1,1.0,0,40.753667,2.365773286467487,true
scatter,30,100,128,1,1.0,1,40.918416,2.26382173638848,true
scatter,30,100,128,1,1.0,2,41.386375,1.4215876089060988,true
scatter,30,100,128,1,1.0,3,54.8165,1.4361858190709047,true
scatter,30,100,128,1,1.0,4,39.058542,1.5597450876261285,true
scatter,30,100,128,4,0.0,0,25.528167,2.4311084355481976,true
scatter,30,100,128,4,0.0,1,27.452875000000002,2.4449069169063113,true
scatter,30,100,128,4,0.0,2,24.898041,2.436609095708575,true
scatter,30,100,128,4,0.0,3,24.189834,2.7436942675159237,true
scatter,30,100,128,4,0.0,4,24.091291000000002,3.1139277108433734,true
scatter,30,100,128,4,0.5,0,35.855834,2.3995098039215685,true
scatter,30,100,128,4,0.5,1,35.758166,2.3890408932929086,true
scatter,30,100,128,4,0.5,2,34.928417,1.5291806692857481,true
scatter,30,100,128,4,0.5,3,41.500667,1.5632167223109306,true
scatter,30,100,128,4,0.5,4,37.553875,1.5982487384980706,true
scatter,30,100,128,4,1.0,0,36.096875,2.357658906808728,true
scatter,30,100,128,4,1.0,1,37.437125,2.2483819333286936,true
scatter,30,100,128,4,1.0,2,35.476291,1.4200254933849061,true
scatter,30,100,128,4,1.0,3,41.621541,1.449134296223199,true
scatter,30,100,128,4,1.0,4,33.903166,1.549199194399156,true
scatter,30,100,128,6,0.0,0,24.144,2.4229038548072594,true
scatter,30,100,128,6,0.0,1,24.653166000000002,2.4390004529669334,true
scatter,30,100,128,6,0.0,2,24.549999999999997,2.4417655506008615,true
scatter,30,100,128,6,0.0,3,23.604667,2.744160366941306,true
scatter,30,100,128,6,0.0,4,23.361583,3.112127926018688,true
scatter,30,100,128,6,0.5,0,36.013042,2.3922251018141427,true
scatter,30,100,128,6,0.5,1,35.702083,2.383049347200708,true
scatter,30,100,128,6,0.5,2,34.00325,1.535941808500523,true
scatter,30,100,128,6,0.5,3,40.829209,1.55621387283237,true
scatter,30,100,128,6,0.5,4,34.914708000000005,1.597774480712166,true
scatter,30,100,128,6,1.0,0,35.10825,2.3504547108039286,true
scatter,30,100,128,6,1.0,1,35.515,2.2217866721683515,true
scatter,30,100,128,6,1.0,2,34.872333,1.4236548715462918,true
scatter,30,100,128,6,1.0,3,41.779416,1.4440173423322755,true
scatter,30,100,128,6,1.0,4,34.42425,1.548530892009778,true
scatter,30,100,128,8,0.0,0,16.695208,2.4528889226330577,true
scatter,30,100,128,8,0.0,1,16.698291,2.4452770208901,true
